,1-PGA-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
5.200000000000000000e+01,1.838418145865568363e+02,8.845183650020031507e+01,8.170393354432546573e+01,5.505421454182270580e+00
5.300000000000000000e+01,9.198167913891066405e+01,3.617625483064135210e+02,2.417579843453521704e+01,1.664209197012012087e+00
5.400000000000000000e+01,2.036955258172462493e+02,2.186862564051608331e+02,2.569941617986268767e+01,1.730073310625150906e+00
5.500000000000000000e+01,1.080660325773250605e+02,5.168975192544885289e+01,2.037593771074585192e+01,1.410239142013239411e+00
5.600000000000000000e+01,1.478377552792795768e+02,7.630647268960254337e+01,1.713054308880700560e+01,1.228623045425988103e+00
5.700000000000000000e+01,1.397011471604224653e+02,1.019617050721838041e+02,7.225361248630748356e+00,7.279946342594458830e-01
5.800000000000000000e+01,2.104655442402393248e+02,2.835323540237587849e+02,1.473809136371003348e+01,1.184424765284737280e+00
5.900000000000000000e+01,2.332142376871794909e+01,2.475812418019882344e+01,1.676334461273242329e-02,1.159858155658896606e-02
6.000000000000000000e+01,9.699675881781708142e+01,3.035074218879555374e+01,6.182202371757747272e+01,4.573173874293868124e+00
6.100000000000000000e+01,1.266813449009823103e+02,1.018474122258940042e+02,2.560100997275019097e+01,1.767396983020876666e+00
6.200000000000000000e+01,1.222735621749476138e+02,6.066154808699638323e+01,7.205582853827542067e+01,5.075656802188968086e+00
6.300000000000000000e+01,1.656258162132219525e+02,1.574852114559407426e+02,1.037364716676393850e-01,8.465033956212755784e-02
6.400000000000000000e+01,2.706275537750810827e+02,2.018791760862037279e+02,1.770300865258302636e+01,1.335442669981740993e+00
6.500000000000000000e+01,2.504547960883858195e+02,1.008466825618220582e+03,2.980601359705968179e+01,1.917688575792831696e+00
6.600000000000000000e+01,6.377824733343135222e+01,2.581283862462225898e+01,3.238006165988466023e+01,2.928456192903281963e+00
6.700000000000000000e+01,1.038645268892397411e+02,2.012201328947170609e+01,6.540679937315077552e+01,4.748173273849849885e+00
6.800000000000000000e+01,2.056112151102300913e+02,1.499175544307322525e+02,3.166967298949776577e+01,2.002174517740358706e+00
6.900000000000000000e+01,1.317014949913379667e+02,1.295324869197568205e+02,1.780785206077148430e+01,1.341764059053324853e+00
7.000000000000000000e+01,1.119662119049780102e+02,2.332072638682019203e+02,3.339188126878842411e+01,1.952489770053758456e+00
7.100000000000000000e+01,8.921029815949526665e+01,2.174096158765703137e+02,5.649255037036363802e+01,4.345256882017019429e+00
7.200000000000000000e+01,1.572415716263974730e+02,1.957750124709821193e+02,2.393520943661163258e+01,1.650284174970249040e+00
7.300000000000000000e+01,1.103125467712927161e+02,3.306742419341206585e+01,6.786254925719150322e+01,4.887335470030002682e+00
7.400000000000000000e+01,9.434745469411731733e+01,2.664168454348968567e+02,1.664611296914646132e+01,1.272859104812498865e+00
7.500000000000000000e+01,1.273036369551671640e+02,1.986749828251361976e+02,2.086163158324272615e+01,1.489357283986305625e+00
7.600000000000000000e+01,6.170879057950049855e+02,5.758792809394633423e+02,2.109952124044497168e+01,1.501406804685575525e+00
7.700000000000000000e+01,1.616759425287419845e+02,3.449813998370094623e+02,2.224278560244793468e+01,1.558000286097060760e+00
7.800000000000000000e+01,8.846270710140342430e+01,1.217682084242173204e+02,1.336916602686155997e+01,1.013419220415494593e+00
7.900000000000000000e+01,1.082924984609467458e+02,8.468907557419805698e+01,6.712972789667627183e+01,4.843023225564266454e+00
8.000000000000000000e+01,7.999384459589913376e+01,2.371770768174828703e+01,4.892591541413891321e+01,3.909759471309711465e+00
