ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0
C.ECB.H.spm.1.B.med.15-Cost,0,1 EA,loss_ratio,0.001,0.034,0.465,1.0
C.ECB.H.spm.1.B.med.3-Cost,0,1 EA,loss_ratio,0.001,0.02,0.439,0.876
C.ECB.H.spm.1.B.med.35-Cost,0,1 EA,loss_ratio,0.001,0.033,0.454,1.0
C.ECB.H.spm.1.B.med.70-Cost,0,1 EA,loss_ratio,0.001,0.026,0.471,1.0
C.ECB.H.spm.1.C.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.01,0.48,0.899
C.ECB.H.spm.1.C.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.022,0.47,0.869
C.ECB.H.spm.1.C.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.022,0.415,0.813
C.ECB.H.spm.1.C.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.016,0.495,0.895
C.ECB.H.spm.1.C.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.014,0.492,0.811
C.ECB.H.spm.1.C.low.100-Cost,0,1 EA,loss_ratio,0.001,0.039,0.488,0.49
C.ECB.H.spm.1.C.low.15-Cost,0,1 EA,loss_ratio,0.001,0.042,0.044,0.685
C.ECB.H.spm.1.C.low.3-Cost,0,1 EA,loss_ratio,0.001,0.013,0.015,0.712
C.ECB.H.spm.1.C.low.35-Cost,0,1 EA,loss_ratio,0.001,0.038,0.439,0.656
C.ECB.H.spm.1.C.low.70-Cost,0,1 EA,loss_ratio,0.001,0.045,0.047,0.539
C.ECB.H.spm.1.C.med.100-Cost,0,1 EA,loss_ratio,0.001,0.027,0.547,1.0
C.ECB.H.spm.1.C.med.15-Cost,0,1 EA,loss_ratio,0.001,0.033,0.483,1.0
C.ECB.H.spm.1.C.med.3-Cost,0,1 EA,loss_ratio,0.001,0.026,0.423,0.942
C.ECB.H.spm.1.C.med.35-Cost,0,1 EA,loss_ratio,0.001,0.036,0.432,1.0
C.ECB.H.spm.1.C.med.70-Cost,0,1 EA,loss_ratio,0.001,0.029,0.47,1.0
C.ECB.H.spm.1.D.hig.100-Cost,0,1 EA,loss_ratio,0.006,0.008,0.248,0.781
C.ECB.H.spm.1.D.hig.15-Cost,0,1 EA,loss_ratio,0.005,0.007,0.265,0.811
C.ECB.H.spm.1.D.hig.3-Cost,0,1 EA,loss_ratio,0.003,0.005,0.309,0.795
C.ECB.H.spm.1.D.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.009,0.193,0.837
C.ECB.H.spm.1.D.hig.70-Cost,0,1 EA,loss_ratio,0.004,0.006,0.314,0.701
C.ECB.H.spm.1.D.low.100-Cost,0,1 EA,loss_ratio,0.003,0.009,0.393,0.395
C.ECB.H.spm.1.D.low.15-Cost,0,1 EA,loss_ratio,0.003,0.009,0.441,0.508
C.ECB.H.spm.1.D.low.3-Cost,0,1 EA,loss_ratio,0.002,0.004,0.438,0.646
C.ECB.H.spm.1.D.low.35-Cost,0,1 EA,loss_ratio,0.003,0.009,0.387,0.389
C.ECB.H.spm.1.D.low.70-Cost,0,1 EA,loss_ratio,0.003,0.009,0.44,0.458
C.ECB.H.spm.1.D.med.100-Cost,0,1 EA,loss_ratio,0.003,0.009,0.438,0.484
C.ECB.H.spm.1.D.med.15-Cost,0,1 EA,loss_ratio,0.007,0.009,0.456,1.0
C.ECB.H.spm.1.D.med.3-Cost,0,1 EA,loss_ratio,0.007,0.009,0.556,1.0
C.ECB.H.spm.1.D.med.35-Cost,0,1 EA,loss_ratio,0.003,0.009,0.434,0.889
C.ECB.H.spm.1.D.med.70-Cost,0,1 EA,loss_ratio,0.003,0.009,0.436,0.649
C.ECB.L.bur.0.A.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.605,0.924
C.ECB.L.bur.0.A.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.635,0.942
C.ECB.L.bur.0.A.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.699,0.915
C.ECB.L.bur.0.A.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.626,0.953
C.ECB.L.bur.0.A.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.601,0.97
C.ECB.L.bur.0.A.low.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.862
C.ECB.L.bur.0.A.low.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.913
C.ECB.L.bur.0.A.low.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.859
C.ECB.L.bur.0.A.low.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.903
C.ECB.L.bur.0.A.low.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.887
C.ECB.L.bur.0.A.med.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.609,1.0
C.ECB.L.bur.0.A.med.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.715,0.954
C.ECB.L.bur.0.A.med.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.685,1.0
C.ECB.L.bur.0.A.med.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.689,1.0
C.ECB.L.bur.0.A.med.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.644,1.0
C.ECB.L.bur.0.B.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.589,1.0
