,1-PFA-0-0, 1-PRD-1-1
8.200000000000000000e+01,6.016676242313246270e+00,1.683888888888888935e-02
8.300000000000000000e+01,6.000717144028803851e+00,7.483333333333333157e-03
8.400000000000000000e+01,6.017334160240259244e+00,1.820000000000000090e-02
8.500000000000000000e+01,5.466711099043492617e+00,4.566666666666666791e-03
8.600000000000000000e+01,6.017433573864798824e+00,1.406111111111111103e-02
8.700000000000000000e+01,3.730426830760999124e+00,1.588888888888889033e-03
8.800000000000000000e+01,6.016559652887351284e+00,7.496666666666666756e-02
8.900000000000000000e+01,6.016672476221120114e+00,4.826666666666667299e-02
9.000000000000000000e+01,6.016572726999137366e+00,4.629444444444444362e-01
9.100000000000000000e+01,3.685298463339736319e+00,1.544444444444444640e-03
9.200000000000000000e+01,6.016661749605466625e+00,7.997777777777777264e-02
9.300000000000000000e+01,4.611801018963253895e+00,2.711111111111110753e-03
9.400000000000000000e+01,4.911474729647110848e+00,3.233333333333332851e-03
9.500000000000000000e+01,3.331944374877664483e+00,1.238888888888888982e-03
9.600000000000000000e+01,6.016631294363186555e+00,7.716111111111111087e-02
9.700000000000000000e+01,5.497517517254858710e+00,4.672222222222221708e-03
9.800000000000000000e+01,6.017448475861355561e+00,1.343888888888888911e-02
9.900000000000000000e+01,6.017184343474323960e+00,1.235555555555555712e-02
