ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-AffectedArea,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-AffectedArea,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-AffectedArea,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-AffectedArea,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-AffectedArea,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-AffectedArea,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-AffectedArea,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-AffectedArea,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-AffectedArea,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-AffectedArea,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-AffectedArea,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-AffectedArea,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-AffectedArea,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-AffectedArea,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-AffectedArea
B.20.22.038-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.039-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.040-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.041-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.051-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.052-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.053-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.054-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.061-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.071-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.072-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.081-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.082-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.083-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.084-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.091-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.101-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.22.201-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.23.001-S1,0,30 SF,persons,,,,,,,,,lognormal,0.25,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.23.002-S1,0,30 SF,persons,,,,,,,,,lognormal,0.25,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.23.011-S1,0,30 SF,persons,,,,,,,,,lognormal,0.25,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.23.021-S1,0,30 SF,persons,,,,,,,,,lognormal,0.25,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.20.23.041-S1,0,30 SF,persons,,,,,,,,,lognormal,0.25,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003a-S1,0,100 LF,persons,,,,,lognormal,0.1,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003a-S2,0,100 LF,persons,,,,,lognormal,0.05,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003b-S1,0,100 LF,persons,,,,,lognormal,0.1,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003b-S2,0,100 LF,persons,,,,,lognormal,0.05,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003c-S1,0,100 LF,persons,,,,,lognormal,0.1,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003c-S2,0,100 LF,persons,,,,,lognormal,0.05,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003d-S1,0,100 LF,persons,,,,,lognormal,0.1,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.11.003d-S2,0,100 LF,persons,,,,,lognormal,0.05,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.001a-S1,0,250 SF,persons,,,,,,,,,lognormal,0.1,0.5,250 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.001b-S1,0,600 SF,persons,,,,,,,,,lognormal,0.1,0.5,650 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.001c-S1,0,1800 SF,persons,,,,,,,,,lognormal,0.1,0.5,1700 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.001d-S1,0,2500 SF,persons,,,,,,,,,lognormal,0.1,0.5,2500 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.003a-S1,0,250 SF,persons,,,,,,,,,lognormal,0.1,0.5,250 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.003b-S1,0,600 SF,persons,,,,,,,,,lognormal,0.1,0.5,650 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.003c-S1,0,1800 SF,persons,,,,,,,,,lognormal,0.1,0.5,1700 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.003d-S1,0,2500 SF,persons,,,,,,,,,lognormal,0.1,0.5,2500 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.004a-S1,0,250 SF,persons,,,,,,,,,lognormal,0.1,0.5,250 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.004b-S1,0,600 SF,persons,,,,,,,,,lognormal,0.1,0.5,650 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.004c-S1,0,1800 SF,persons,,,,,,,,,lognormal,0.1,0.5,1700 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.32.004d-S1,0,2500 SF,persons,,,,,,,,,lognormal,0.1,0.5,2500 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.34.001-S1,0,1 EA,persons,lognormal,0.75,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.30.34.001-S2,0,1 EA,persons,lognormal,0.25,0.5,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.10.14.011-S1,0,1 EA,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF
