ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-LongLeadTime,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-LongLeadTime,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-LongLeadTime,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-LongLeadTime,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-LongLeadTime,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-LongLeadTime,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-LongLeadTime,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-LongLeadTime,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-LongLeadTime,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-LongLeadTime,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-LongLeadTime,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-LongLeadTime,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-LongLeadTime,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-LongLeadTime,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-LongLeadTime
B1033.061a-Cost,0,1 EA,US$_2011,normal,"45098.1,30666.7|3,7",0.327833,,normal,"50591.1,34401.9|3,7",0.313177,,normal,"52716.1,35846.9|3,7",0.308201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.061a-Time,0,1 EA,worker_day,normal,"29.8444,20.2942|3,7",0.412279,0,normal,"33.4794,22.766|3,7",0.400724,0,normal,"34.8856,23.7222|3,7",0.396847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.061b-Cost,0,1 EA,US$_2011,normal,"45098.1,30666.7|3,7",0.327833,,normal,"62283.3,42352.6|3,7",0.294038,,normal,"66658.3,45327.6|3,7",0.288337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.061b-Time,0,1 EA,worker_day,normal,"29.8444,20.2942|3,7",0.412279,0,normal,"41.2169,28.0275|3,7",0.385951,0,normal,"44.1121,29.9962|3,7",0.381626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.061c-Cost,0,1 EA,US$_2011,normal,"45098.1,30666.7|3,7",0.327833,,normal,"76226.7,51834.2|3,7",0.278573,,normal,"82476.7,56084.2|3,7",0.273522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.061c-Time,0,1 EA,worker_day,normal,"29.8444,20.2942|3,7",0.412279,0,normal,"50.4441,34.302|3,7",0.374303,0,normal,"54.5801,37.1145|3,7",0.370559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.062a-Cost,0,1 EA,US$_2011,normal,"44151,30022.7|3,7",0.330314,,normal,"48852.1,33219.4|3,7",0.317524,,normal,"49914.6,33941.9|3,7",0.316182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.062a-Time,0,1 EA,worker_day,normal,"29.2175,19.8679|3,7",0.414255,0,normal,"32.3286,21.9835|3,7",0.404131,0,normal,"33.0317,22.4616|3,7",0.403077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.062b-Cost,0,1 EA,US$_2011,normal,"44151,30022.7|3,7",0.330314,,normal,"55767.3,37921.8|3,7",0.303621,,normal,"60142.3,40896.8|3,7",0.296366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.062b-Time,0,1 EA,worker_day,normal,"29.2175,19.8679|3,7",0.414255,0,normal,"36.9049,25.0953|3,7",0.393301,0,normal,"39.8,27.064|3,7",0.387728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.062c-Cost,0,1 EA,US$_2011,normal,"44151,30022.7|3,7",0.330314,,normal,"64770.7,44044.1|3,7",0.28904,,normal,"71645.7,48719.1|3,7",0.281345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.062c-Time,0,1 EA,worker_day,normal,"29.2175,19.8679|3,7",0.414255,0,normal,"42.863,29.1468|3,7",0.382157,0,normal,"47.4126,32.2406|3,7",0.376371,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.063a-Cost,0,1 EA,US$_2011,normal,"46152,31383.3|3,7",0.324498,,normal,"54679.1,37181.8|3,7",0.305828,,normal,"56554.1,38456.8|3,7",0.302399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
